"t(s)","a(m/s²)"
4.021650042E0,1.184854779E0
4.031668042E0,2.046994896E0
4.041685042E0,3.198715851E0
4.051703042E0,3.744726655E0
4.061720042E0,4.118538322E0
4.071737042E0,7.227616734E0
4.081755042E0,9.371100688E0
4.091772042E0,1.003438164E1
4.101790042E0,9.830352137E0
4.111807042E0,9.879398838E0
4.121825042E0,9.866155337E0
4.131842042E0,9.871986164E0
4.141860042E0,9.862726768E0
4.151877042E0,9.864991784E0
4.161895042E0,9.874191933E0
4.171911167E0,9.867542331E0
4.181929167E0,9.875188779E0
4.191946167E0,9.861042156E0
4.201964167E0,9.859358014E0
4.211981167E0,9.868669339E0
4.221998167E0,9.870909086E0
4.232016167E0,9.869531809E0
4.242033167E0,9.870238933E0
4.252051167E0,9.860735331E0
4.262068167E0,9.885882553E0
4.272086167E0,9.878326934E0
4.282103167E0,9.865928885E0
4.292121167E0,9.870069906E0
4.302138167E0,9.871375062E0
4.312156167E0,9.859669678E0
4.322173167E0,9.866192034E0
4.332191167E0,9.869379379E0
4.342208167E0,9.865861225E0
4.352225167E0,9.863552901E0
4.362243167E0,9.866695250E0
4.372260167E0,9.867165003E0
4.382278167E0,9.874965194E0
4.392295167E0,9.870044062E0
4.402313167E0,9.862162531E0
4.412330167E0,9.874024847E0
4.422348167E0,9.873898459E0
4.432365167E0,9.860228855E0
4.442383167E0,9.861002113E0
4.452400167E0,9.862311424E0
4.462418167E0,9.865327120E0
4.472435167E0,9.846911200E0
4.482452167E0,9.840191370E0
4.492470167E0,9.830538526E0
4.502487167E0,9.840798323E0
4.512505167E0,9.828342688E0
4.522522167E0,9.830669975E0
4.532540167E0,9.816087536E0
4.542557167E0,9.804533290E0
4.552575167E0,9.792849408E0
4.562592167E0,9.795900860E0
4.572610167E0,9.787921984E0
4.582627167E0,9.759914576E0
4.592645167E0,6.340531516E0
