Time (s),Absolute acceleration (m/s^2)
7.51E-01,5.11E-01
7.61E-01,2.64E+00
7.71E-01,2.88E+00
7.81E-01,4.47E+00
7.91E-01,9.81E+00
8.01E-01,9.95E+00
8.11E-01,9.71E+00
8.21E-01,9.77E+00
8.31E-01,9.76E+00
8.41E-01,9.76E+00
8.51E-01,9.77E+00
8.61E-01,9.76E+00
8.71E-01,9.76E+00
8.81E-01,9.76E+00
8.91E-01,9.76E+00
9.01E-01,9.75E+00
9.11E-01,9.76E+00
9.21E-01,9.75E+00
9.32E-01,9.76E+00
9.42E-01,9.75E+00
9.52E-01,9.75E+00
9.62E-01,9.75E+00
9.72E-01,9.75E+00
9.82E-01,9.75E+00
9.92E-01,9.75E+00
1.00E+00,9.75E+00
1.01E+00,9.74E+00
1.02E+00,9.74E+00
1.03E+00,9.75E+00
1.04E+00,9.74E+00
1.05E+00,9.74E+00
1.06E+00,9.74E+00
1.07E+00,9.74E+00
1.08E+00,9.73E+00
1.09E+00,9.72E+00
1.10E+00,9.73E+00
1.11E+00,9.73E+00
1.12E+00,5.76E+00
